"UID","AID","Score"
8,8452,4.5
8,8453,2.5
8,8455,5.0
8,8458,4.0
9,5,5.0
9,14,5.0
9,45,4.5
9,52,4.75
9,87,5.0
9,108,4.75
9,111,5.0
9,113,5.0
9,157,3.5
9,192,4.8
9,263,4.5
9,273,4.5
9,284,5.0
9,333,5.0
9,476,4.0
9,496,5.0
9,565,5.0
9,601,5.0
9,604,5.0
9,605,5.0
9,606,4.0
9,607,4.5
9,609,5.0
9,610,4.0
9,611,5.0
9,612,4.5
9,613,5.0
9,614,4.0
9,615,4.5
9,617,4.5
9,618,5.0
9,619,4.5
9,621,4.0
9,622,3.5
9,623,4.5
9,624,4.0
9,656,4.833333333333333
9,867,4.0
9,1114,5.0
9,1444,4.5
9,2111,3.5
9,3059,5.0
9,8471,5.0
9,8472,5.0
10,41,1.0
10,45,3.8333333333333335
10,49,4.0
10,88,4.5
10,126,4.0
10,128,4.0
10,217,4.5
10,583,3.5
10,629,3.5
10,630,4.0
10,631,4.0
10,633,4.0
10,636,3.0
10,638,4.0
10,639,4.0
10,640,4.5
10,641,3.5
10,642,3.0
10,643,3.5
10,645,5.0
10,649,4.0
10,650,4.25
10,651,4.0
10,652,4.0
10,653,4.0
10,654,4.0
10,1081,4.5
10,4672,3.5
10,5827,4.0
10,8473,3.5
10,8474,3.5
10,8475,4.0
10,8478,4.0
10,8479,4.0
10,8480,3.5
10,8481,3.5
10,8482,3.0
11,44,3.0
11,148,3.5
11,239,4.0
11,304,3.5
11,657,4.0
11,658,2.0
11,659,3.5
11,663,2.0
11,667,3.0
11,668,3.0
11,669,3.5
11,670,3.5
11,671,3.5
11,672,3.0
11,673,3.0
11,674,4.0
11,675,2.0
11,676,4.0
11,678,3.5
11,679,2.5
11,682,5.0
11,683,3.75
11,685,3.0
11,686,3.5
11,687,4.0
11,688,4.0
12,153,3.5
12,233,2.5
12,333,1.5
12,486,3.75
12,509,4.5
12,703,4.5
12,704,5.0
12,705,3.0
12,706,4.5
12,707,5.0
12,708,4.5
12,709,2.1
12,710,5.0
12,713,5.0
13,107,5.0
13,375,4.0
13,453,4.5
13,749,4.5
13,750,3.5
13,752,2.0
13,753,4.0
13,754,3.0
13,757,4.0
13,758,4.5
13,759,5.0
14,325,5.0
14,329,5.0
14,743,5.0
14,765,4.0
14,770,4.0
14,776,3.0
14,781,5.0
14,784,5.0
14,785,4.0
14,786,1.5
14,787,5.0
14,791,4.0
14,8486,5.0
14,8487,4.5
14,8491,5.0
15,801,5.0
15,802,5.0
15,803,4.818181818181818
16,126,5.0
16,127,3.5
16,196,4.0
16,207,4.5
16,395,4.0
16,656,3.5
16,833,5.0
16,835,2.0
16,837,4.0
16,838,5.0
16,839,5.0
16,840,5.0
16,841,5.0
16,842,4.5
16,844,3.5
16,845,4.0
16,846,4.0
16,848,4.0
16,852,4.0
16,853,4.0
16,854,5.0
16,856,4.5
16,857,3.5
17,212,5.0
17,391,4.5
17,730,5.0
17,884,3.0
17,885,1.5
17,886,4.0
17,887,2.5
17,888,1.5
17,889,3.0
17,2119,3.0
17,2551,3.5
17,11357,3.0
17,14139,4.0
17,93937,5.0
18,88,5.0
18,89,4.5
18,111,5.0
18,233,5.0
18,292,5.0
18,298,3.375
18,453,3.0
18,538,2.5
18,542,5.0
18,604,5.0
18,705,5.0
18,730,5.0
18,810,5.0
18,909,5.0
18,917,2.0
18,918,5.0
18,1008,4.5
18,1295,5.0
18,1349,5.0
18,1775,4.5
18,1958,4.5
18,2278,4.5
18,2580,4.5
18,3156,4.5
18,3378,5.0
18,4622,5.0
18,4807,5.0
18,6471,2.5
18,6689,2.5
18,6740,4.0
18,8497,5.0
18,8503,4.5
18,8504,4.5
18,8507,2.5
18,10073,5.0
19,127,4.5
19,375,2.5
19,936,3.0
19,937,3.0
19,938,2.5
19,939,2.5
19,940,2.5
19,941,2.5
19,942,2.5
19,944,2.5
19,945,2.5
19,946,2.5
20,68,4.0
20,182,4.5
20,948,5.0
20,949,4.0
20,950,4.5
20,951,4.166666666666667
20,952,4.5
20,2051,4.5
20,8510,5.0
21,119,3.0
21,153,4.0
21,209,3.5
21,230,4.0
21,372,3.5
21,514,4.0
21,671,2.5
21,793,4.0
21,810,3.0
21,836,4.0
21,967,4.0
21,971,4.0
21,972,4.5
21,975,4.0
21,976,2.5
21,977,2.5
21,978,2.5
21,982,2.0
21,983,5.0
21,984,3.5
21,986,3.5
21,988,4.0
21,2278,3.0
21,8512,4.0
21,8513,3.5
22,127,2.5
22,201,4.5
22,238,2.5
22,293,4.5
22,317,4.0
22,615,4.0
22,639,5.0
22,1032,4.5
22,1035,3.75
22,1038,4.0
22,1039,4.5
22,1040,4.5
22,1126,4.0
22,1192,4.5
22,2447,5.0
22,2601,4.0
22,3834,4.0
22,8516,4.5
22,8518,4.5
22,8519,5.0
22,8521,3.5
22,8522,2.5
22,8525,3.5
22,8526,3.0
22,8527,3.5
22,8528,5.0
22,8529,4.5
22,9268,3.0
23,111,3.5
23,290,5.0
23,333,3.5
23,390,3.5
23,1032,4.5
23,1049,2.5
23,1062,4.0
23,1063,4.5
23,1064,2.5
23,1065,5.0
24,18,3.0
24,620,3.5
24,628,2.0
24,940,3.5
24,1101,1.5
24,1104,5.0
24,1105,1.5
24,1106,4.5
24,24045,3.5
25,41,3.75
25,45,3.25
25,90,3.0
25,127,3.5
25,166,3.5
25,288,4.0
25,325,4.0
25,416,4.0
25,462,3.5
25,475,2.5
25,522,3.5
25,569,3.5
25,607,3.5
25,998,3.5
25,1026,4.5
25,1107,3.5
25,1108,3.5
25,1112,3.0
25,1113,3.5
25,1114,4.0
25,1115,3.5
25,1116,4.0
26,119,4.5
26,229,4.5
26,778,3.0
26,1122,4.0
26,1123,4.0
26,1124,4.0
26,1125,4.0
26,1126,5.0
26,1127,2.5
26,1128,3.5
26,1129,3.5
26,1130,3.5
26,1134,3.5
27,111,4.5
27,182,4.5
27,212,4.0
27,231,3.5
27,289,4.5
27,335,4.5
27,584,4.0
27,587,4.0
27,609,3.5
27,639,3.5
27,724,4.5
27,930,3.5
27,1180,4.25
27,1181,4.0
27,1182,4.166666666666667
27,1183,3.5
27,1186,4.0
27,1187,4.625
27,1188,4.0
27,1189,4.5
27,1190,3.75
27,1196,3.5
27,1566,4.0
27,2960,4.5
27,3016,3.0
27,3105,1.0
27,8530,4.0
27,8531,4.0
27,8535,2.5
27,8536,4.0
27,8538,4.5
27,8540,4.5
27,8541,4.0
27,8542,4.5
27,8543,3.5
28,492,5.0
28,671,5.0
28,1207,4.5
28,1208,5.0
28,1209,5.0
28,1210,5.0
28,1211,4.5
28,1212,5.0
28,1213,5.0
28,1214,5.0
28,1215,4.5
28,1216,4.5
28,1217,5.0
28,1218,3.0
28,1219,5.0
28,1220,5.0
28,1221,5.0
28,1222,4.5
28,1223,5.0
28,1224,5.0
28,1225,4.5
29,5,3.0
29,27,4.0
29,39,3.1666666666666665
29,116,4.0
29,182,4.0
29,292,3.0
29,340,3.75
29,545,3.5
29,601,3.5
29,604,3.0
29,903,5.0
29,913,4.0
29,1008,4.0
29,1032,4.0
29,1097,4.0
29,1311,3.5
29,1313,3.0
29,1320,3.5
29,1323,3.0
29,1324,3.5
29,1325,3.0
29,1327,3.5
29,1328,3.5
29,1438,3.5
29,1832,4.0
29,2907,4.0
29,3076,4.0
29,3337,4.0
29,3357,3.5
29,3728,3.6666666666666665
29,3777,4.5
29,4124,3.5
29,5057,3.5
29,5275,3.5
29,6109,4.0
29,6136,4.0
29,6392,3.5
29,6502,3.0
29,6666,3.0
29,7858,3.5
29,8547,3.5
29,8549,3.5
29,8550,3.5
29,8555,3.0
29,8556,4.0
29,8559,3.0
29,8561,3.5
29,8562,3.5
29,8563,3.0
29,8566,3.5
29,8568,3.0
29,8569,2.5
29,8571,2.5
29,8572,4.5
29,8575,3.0
29,8576,3.0
29,8578,3.0
29,8579,3.5
29,8580,3.5
29,8581,3.5
29,8583,4.5
30,5,5.0
30,14,5.0
30,26,2.5
30,27,3.0
30,39,5.0
30,119,2.25
30,135,5.0
30,153,5.0
30,201,3.25
30,235,4.0
30,246,2.5
30,284,2.5
30,569,4.0
30,829,4.0
30,1011,4.5
30,1105,3.0
30,1117,5.0
30,1250,2.0
30,1330,2.0
30,1333,5.0
30,1334,3.5
30,1338,5.0
30,1339,3.0
30,1342,3.5
30,1343,3.0
30,1345,4.5
30,1346,4.5
30,1702,2.0
30,4352,4.5
30,7184,3.5
30,7288,5.0
30,8589,3.0
30,8591,4.0
30,8592,1.5
30,8593,3.5
30,8596,2.5
30,8597,2.5
30,8598,5.0
30,8600,2.5
30,8602,2.5
30,8603,3.5
30,8606,3.0
30,8607,3.5
31,27,2.5
31,196,4.0
31,372,4.125
31,542,4.0
31,737,4.0
31,969,3.5
31,1114,4.0
31,1402,4.0
31,1404,0.5
31,1406,3.5
31,1407,3.0
31,1409,3.5
32,119,2.0
32,337,4.0
32,457,3.0
32,749,3.0
32,1110,3.5
32,1112,2.0
32,1359,3.125
32,1431,2.5
32,1432,3.5
32,1433,3.0
32,1434,2.5
32,1435,2.0
32,1436,3.5
33,76,5.0
33,88,4.0
33,219,0.5
33,491,3.5
33,737,3.5
33,804,5.0
33,921,4.75
33,1138,5.0
33,1221,2.5
33,1474,5.0
33,1475,0.5
33,1476,5.0
33,1477,5.0
33,1479,3.5
33,1480,3.0
33,1488,5.0
33,1490,2.5
33,2874,5.0
33,4049,4.0
33,8610,4.5
33,8612,4.0
34,26,0.5
34,44,3.5
34,45,4.0
34,90,2.5
34,107,3.6666666666666665
34,110,4.0
34,113,2.5
34,298,4.25
34,301,4.333333333333333
34,411,3.0
34,463,4.5
34,500,4.0
34,529,1.5
34,626,4.5
34,824,4.5
34,936,2.5
34,996,4.0
34,1013,4.5
34,1042,5.0
34,1522,4.0
34,1523,0.5
34,1525,3.0
34,1526,4.0
34,1528,3.5
34,1529,5.0
34,1530,3.5
34,1531,3.5
34,1532,5.0
34,1536,3.0
34,1538,4.0
34,1539,3.0
34,1540,2.5
34,1541,3.0
34,1542,3.0
34,1543,2.5
34,1544,3.0
34,2599,3.5
34,2636,4.5
34,2650,5.0
34,2698,4.5
34,2828,3.5
34,3139,3.75
34,3275,5.0
34,3615,2.5
34,4321,4.0
34,5462,3.5
34,6210,4.0
34,6978,3.5
34,7359,4.0
34,7825,4.0
34,7923,4.0
34,8613,3.5
34,8614,2.0
34,8615,2.0
34,8617,3.5
34,8618,3.5
34,8621,4.0
34,8622,5.0
34,8627,4.5
34,8628,4.0
34,8629,4.0
34,8631,2.5
34,8633,4.0
34,8634,5.0
34,8635,5.0
34,8636,2.5
34,8640,5.0
34,8641,4.5
34,8642,2.5
34,8644,4.5
34,8645,4.0
34,8646,2.5
34,8647,2.5
34,8648,4.5
34,8650,4.0
34,8651,4.5
34,8652,1.0
34,8653,5.0
34,8654,5.0
34,8655,2.5
34,8656,4.0
35,28,4.0
35,101,5.0
35,119,2.5
35,163,5.0
35,207,5.0
35,325,5.0
35,491,4.5
35,737,4.0
35,1092,2.5
35,1588,5.0
35,1589,4.5
35,1590,2.5
35,1591,5.0
35,1592,3.0
35,1593,4.8
35,1594,3.5
35,1595,4.75
35,1596,5.0
35,1597,5.0
35,1598,5.0
35,1601,5.0
35,2961,5.0
35,8657,5.0
35,8658,4.5
35,8659,3.5
36,63,5.0
36,132,4.5
36,209,3.0
36,656,5.0
36,737,5.0
36,806,1.0
36,969,5.0
36,1635,1.5
36,1636,3.0
36,1637,5.0
36,1638,5.0
36,1639,5.0
36,1640,5.0
36,1641,4.0
36,1644,4.0
36,1645,5.0
36,1646,5.0
36,1650,0.5
36,1653,4.5
36,1658,5.0
36,2140,0.5
36,2838,4.5
36,2860,5.0
36,4595,4.5
36,5073,4.5
36,5393,5.0
36,6903,5.0
36,7087,5.0
36,7184,5.0
36,7457,3.5
36,8674,5.0
36,8675,5.0
36,8676,4.0
36,8679,5.0
36,8680,5.0
36,8681,5.0
36,8682,5.0
36,8685,5.0
36,8686,5.0
36,8689,5.0
36,8693,5.0
36,8694,5.0
36,8697,0.5
36,8702,5.0
36,8703,3.0
36,8705,4.5
36,8706,3.5
36,8707,1.5
36,8708,4.0
36,8710,5.0
36,8711,5.0
36,8715,4.0
37,457,5.0
37,471,4.5
37,1126,3.0
37,1674,4.0
37,1699,2.5
37,1700,2.0
37,1702,3.5
37,1703,3.25
37,1705,1.0
37,1706,2.5
37,1709,4.0
38,28,4.0
38,47,4.0
38,157,1.0
38,171,5.0
38,749,4.5
38,845,2.5
38,855,4.0
38,1711,4.0
38,1713,3.0
38,1714,5.0
39,565,4.5
39,1715,4.0
39,1716,4.5
39,1717,4.5
39,1718,3.5
39,1719,4.5
39,1720,4.5
39,1721,4.0
39,1722,4.0
39,1723,4.5
39,1724,4.0
39,1725,4.0
39,1726,4.5
39,1727,4.0
39,1728,2.5
39,1729,2.5
39,1730,2.5
39,1731,4.0
39,1732,4.5
39,1733,4.5
39,1734,2.5
39,1735,2.5
39,1736,4.0
39,1737,4.0
39,8716,2.5
40,157,5.0
40,317,5.0
40,930,5.0
40,1039,5.0
40,1067,5.0
40,1738,5.0
40,1740,5.0
40,1741,5.0
40,1742,5.0
40,1743,5.0
40,1744,5.0
40,1745,5.0
40,1746,5.0
40,1747,2.5
40,1748,5.0
40,1749,5.0
40,1750,5.0
40,1751,5.0
40,1752,5.0
40,1753,5.0
40,1754,5.0
40,1756,5.0
40,1757,5.0
40,1758,5.0
40,1759,5.0
40,1761,5.0
40,4078,5.0
40,8717,4.5
40,8720,5.0
40,8721,5.0
40,8722,5.0
40,8723,5.0
41,224,5.0
41,261,4.0
41,298,3.0
41,492,2.5
41,516,4.6
41,618,5.0
41,639,5.0
41,730,5.0
41,737,4.525
41,841,5.0
41,905,3.5
41,1256,4.9
41,1529,4.5
41,1762,3.5
41,1763,5.0
41,1764,3.5
41,1768,4.0
41,1769,5.0
41,1771,4.5
41,1772,3.5
41,1773,4.0
41,1774,4.0
41,1775,3.5
41,1777,3.5
41,1778,5.0
41,1779,5.0
41,1780,5.0
41,2451,5.0
41,2757,4.5555555555555545
41,2855,5.0
41,4054,3.5
41,4130,5.0
41,4131,5.0
41,4132,3.0
41,5230,4.0
41,5322,4.0
41,5678,3.9166666666666665
41,6989,4.0
41,7872,2.5
41,7957,5.0
41,8732,4.5
41,8733,5.0
41,8734,5.0
41,8735,5.0
41,8736,5.0
41,8737,5.0
41,8738,4.5
41,8739,5.0
41,8740,5.0
41,8741,5.0
41,8742,4.5
41,8743,5.0
41,8744,4.5
41,8745,3.5
41,8746,3.0
41,8747,4.0
41,8748,2.5
41,8750,1.0
41,8752,5.0
41,8755,3.0
41,8756,5.0
41,8757,2.5
41,8758,3.5
41,8759,5.0
42,18,3.5
42,836,4.0
42,1788,0.5
42,1789,2.5
42,1790,1.5
42,1791,3.0
42,1792,2.5
42,1793,4.0
42,1794,3.5
42,1795,4.0
43,45,3.0
43,216,4.0
43,1185,4.0
43,1815,4.0
43,1816,3.75
43,1817,3.5
43,1818,3.5
43,1819,3.5
43,1820,3.0
43,1821,4.0
44,18,4.5
44,212,5.0
44,1470,5.0
44,1833,3.0
44,1834,3.5
44,1835,5.0
44,1837,4.5
44,1838,5.0
44,1839,3.5
44,1840,4.0
45,119,4.5
45,153,4.25
45,159,3.0
45,206,3.5
45,207,2.5
45,509,4.5
45,514,5.0
45,671,5.0
45,672,5.0
45,707,4.0
45,778,4.0
45,978,5.0
45,1090,5.0
45,1202,4.0
45,1204,4.5
45,1273,5.0
45,1529,5.0
45,1562,5.0
45,1814,5.0
45,1846,5.0
45,1847,4.0
45,1849,5.0
45,1850,4.0
45,1851,4.5
45,1852,5.0
45,1853,5.0
45,1854,5.0
45,1855,4.0
45,1857,4.0
45,1858,4.0
45,1859,4.0
45,1860,4.166666666666667
45,1861,4.0
45,1864,3.9
45,2561,5.0
45,2574,4.0
45,3062,4.5
45,3350,4.5
45,3809,4.0
45,3941,4.0
45,4280,5.0
45,5241,4.0
45,8761,4.0
45,8762,5.0
45,8764,3.5
45,8765,4.0
45,8766,5.0
45,8769,3.0
45,8770,3.5
45,8771,0.5
45,8772,3.5
45,8774,4.166666666666667
45,8775,4.5
45,8777,5.0
45,8779,3.2222222222222223
45,8782,4.5
45,8783,4.0
45,8784,4.5
45,8785,5.0
45,8786,3.0
45,8787,4.0
45,8788,5.0
45,8789,4.0
45,8791,3.0
45,8792,3.5
45,8793,3.5
46,111,4.5
46,173,4.5
46,231,4.0
46,372,4.5
46,1245,4.5
46,1483,5.0
46,1529,5.0
46,1703,4.5
46,1924,4.5
46,1925,4.0
46,1927,5.0
46,1928,4.5
46,1932,5.0
46,1934,4.0
46,1938,5.0
46,1940,4.0
46,1943,4.5
46,8796,4.5
46,8797,4.5
46,8800,4.0
46,8804,4.0
47,18,5.0
47,35,4.5
47,47,2.0
47,52,3.75
47,108,4.75
47,113,4.5
47,128,4.5
47,137,5.0
47,153,3.75
47,156,5.0
47,198,2.5
47,278,4.5
47,372,4.166666666666667
47,375,5.0
47,397,5.0
47,426,4.5
47,483,4.5
47,488,4.0
47,498,4.0
47,516,4.833333333333333
47,524,4.25
47,527,5.0
47,660,4.5
47,697,5.0
47,730,4.5
47,737,4.0
47,750,3.5
47,898,4.5
47,927,4.5
47,974,5.0
47,1009,4.5
47,1013,2.5
47,1250,4.75
47,1359,4.5
47,1383,5.0
47,1426,5.0
47,1593,4.0
47,1613,4.5
47,1685,4.25
47,1829,4.25
47,1927,5.0
47,1937,2.5
47,1951,4.0
47,1986,4.0
47,1997,3.5
47,2093,4.5
47,2119,5.0
47,2146,4.5
47,2256,2.5
47,2319,4.0
47,2408,4.0
47,2443,4.5
47,2451,4.833333333333333
47,2564,4.0
47,2566,5.0
47,2989,3.5
47,3140,4.5
47,3390,5.0
47,3429,4.0
47,3723,5.0
47,3767,3.0
47,3776,5.0
47,3777,4.0
47,3911,3.5
47,3970,5.0
47,4004,4.5
47,4132,5.0
47,4277,4.5
47,4493,3.0
47,4551,4.0
47,4696,2.5
47,5194,5.0
47,5341,4.5
47,5406,4.0
47,5519,3.5
47,5955,5.0
47,6255,5.0
47,6376,5.0
47,6820,5.0
47,6945,2.5
47,7289,3.5
47,7602,4.5
47,7769,5.0
47,7830,4.0
47,8330,4.5
47,8396,4.5
47,8833,3.5
47,8834,4.0
47,8836,5.0
47,8838,5.0
47,8839,5.0
47,8840,3.5
47,8841,3.5
47,8848,2.5
47,8849,5.0
47,8850,4.5
47,8851,2.0
47,8852,5.0
47,8853,4.5
47,8854,4.0
47,8855,5.0
47,8856,3.5
47,8859,4.5
47,8860,3.5
47,8862,3.0
47,8863,4.0
47,8864,4.0
47,8865,5.0
47,8868,4.5
47,8869,5.0
47,8870,5.0
47,8872,5.0
47,8873,4.0
47,8875,5.0
47,8876,4.5
47,8877,4.0
47,8878,5.0
47,8879,3.0
47,8883,4.0
47,8891,4.0
47,8892,4.5
47,8893,4.0
47,8894,4.5
47,8896,5.0
47,8898,4.5
47,8899,4.5
47,8901,4.5
47,8903,4.0
47,8906,4.5
47,8908,4.5
47,8909,3.5
47,8910,1.5
47,8912,2.25
47,8913,4.0
47,8915,3.5
47,8916,3.0
47,8917,4.0
47,8919,1.5
47,8920,4.0
47,8921,4.0
47,8922,2.5
47,8923,3.5
47,8926,4.5
47,8927,3.5
47,8928,4.0
47,8930,2.5
47,8933,3.0
47,8934,3.0
47,8935,2.0
47,8936,3.5
47,8937,5.0
47,8938,3.5
47,8940,3.5
47,8941,5.0
47,8942,2.5
47,8944,4.0
47,8946,4.5
47,8949,4.5
47,8952,3.0
48,44,4.166666666666667
48,384,2.5
48,394,4.5
48,522,4.0
48,566,2.0
48,1880,3.0
48,1894,3.5
48,2011,4.0
48,2019,1.5
48,2022,5.0
48,2023,3.0
49,5,2.0
49,19,4.5
49,127,4.5
49,163,3.5
49,486,4.5
49,737,3.75
49,800,4.5
49,1477,2.5
49,2027,2.5
49,2028,5.0
49,2030,2.5
49,2032,3.0
49,2033,3.5
49,2034,4.0
49,2035,4.0
49,2036,3.0
49,2037,3.0
49,2038,3.5
49,2040,4.5
49,2041,3.5
49,2042,3.0
49,2043,3.5
49,2044,4.0
49,2049,4.0
49,2050,3.0
49,2051,4.0
50,52,3.5
50,127,4.5
50,290,4.0
50,395,3.5
50,535,3.5
50,608,5.0
50,748,4.5
50,1109,4.25
50,1517,4.5
50,1643,5.0
50,2060,4.5
50,2061,5.0
50,2062,4.0
50,2063,5.0
50,2064,5.0
50,2065,5.0
51,153,4.0
51,208,4.0
51,628,4.5
51,771,3.5
51,1090,4.0
51,1506,4.0
51,1853,3.0
51,2075,4.0
51,2080,3.5
51,2095,3.5
51,2725,4.0
51,3966,3.0
51,8781,4.0
51,8953,3.5
51,8960,3.0
51,8961,3.5
51,8963,3.0
51,10673,4.0
52,725,4.5
52,862,4.5
52,1417,2.5
52,2096,4.5
52,2097,4.5
52,2098,4.5
52,2099,4.5
52,2100,4.5
52,2101,4.5
52,2102,4.5
52,2103,4.5
52,2104,4.5
52,2105,4.5
52,2108,3.0
53,204,2.5
53,325,4.5
53,664,3.5
53,1775,2.5
53,2234,4.0
53,2235,4.0
53,2236,3.5
53,2238,3.5
53,2241,2.5
53,2243,4.0
53,2244,3.5
53,2246,2.5
54,14,3.5
54,26,3.0
54,37,5.0
54,38,4.5
54,49,4.0
54,52,3.5
54,129,3.0
54,192,3.5
54,232,5.0
54,263,2.5
54,289,4.5
54,293,4.0
54,309,4.5
54,329,4.0
54,333,4.5
54,372,3.0
54,566,5.0
54,608,3.5
54,620,4.0
54,713,3.75
54,998,3.0
54,1032,4.0
54,1141,4.0
54,1151,4.5
54,1191,4.5
54,1326,4.0
54,1462,4.0
54,1673,4.0
54,1714,3.5
54,1775,4.5
54,2008,4.25
54,2043,2.5
54,2062,4.0
54,2122,4.5
54,2260,4.0
54,2262,3.5
54,2263,3.5
54,2264,4.0
54,2273,4.0
54,2305,3.0
54,2768,4.5
54,4719,4.5
54,4766,4.5
54,5781,4.5
54,6525,4.0
54,7451,4.5
54,8221,4.0
54,8462,5.0
54,8967,4.5
54,8968,4.0
54,8969,4.5
54,8971,4.5
54,8972,4.5
54,8973,4.0
54,8974,4.5
54,8978,4.0
54,8979,3.5
54,8981,3.0
54,8983,4.5
54,8984,3.5
54,8988,4.0
54,8989,5.0
54,8990,4.0
54,8991,3.0
54,8993,5.0
54,8994,4.0
54,8996,4.5
54,8998,3.5
54,8999,4.0
54,9000,3.5
54,9001,4.5
54,9002,3.5
54,9008,4.5
54,9017,3.5
54,9019,3.5
54,9024,3.5
54,9026,5.0
55,298,3.5
55,1013,2.75
55,1109,4.5
55,1184,3.5
55,1357,4.0
55,2564,4.0
55,2894,4.0
55,9949,3.5
55,29340,4.0
55,65012,4.0
55,94446,3.5
55,94447,4.0
56,63,4.0
56,231,5.0
56,1058,3.5
56,1593,4.5
56,2287,3.5
56,2288,3.5
56,2289,4.0
56,2290,3.0
56,2291,3.0
56,2292,4.0
57,5,3.5
57,19,4.0
57,39,4.5
57,41,3.0
57,127,3.0
57,174,3.5
57,207,2.5
57,249,2.5
57,290,3.5
57,325,3.75
57,337,4.5
57,395,3.5
57,825,3.5
57,840,4.0
57,879,3.0
57,1182,3.5
57,1221,4.5
57,1306,4.0
57,1477,3.75
57,1482,3.0
57,1506,3.0
57,1960,3.5
57,2154,4.0
57,2232,3.5
57,2321,3.0
57,2322,3.5
57,2324,4.0
57,2330,4.0
57,2333,5.0
57,2336,2.5
57,2738,3.5
57,5898,3.5
57,6014,4.5
57,9030,4.5
57,9031,4.5
57,9036,3.5
57,9037,3.5
57,9040,2.5
57,9042,2.5
57,9044,4.5
57,9045,4.0
57,9048,3.5
57,9049,3.5
57,9050,2.0
57,9056,3.5
57,9057,3.0
57,9060,3.0
57,9061,2.5
58,2,4.0
58,244,5.0
58,2367,3.5
58,2368,4.0
58,2369,4.5
58,2371,2.0
58,2373,3.5
58,2374,3.0
58,2375,3.5
58,2377,3.5
58,2380,3.0
58,2381,4.0
59,196,3.5
59,336,4.0
59,337,3.5
59,340,3.75
59,395,4.5
59,579,4.0
59,1061,2.5
59,1110,1.5
59,1138,1.5
59,1155,4.5
59,1403,3.0
59,1432,3.5
59,1508,4.0
59,2005,4.0
59,2254,5.0
59,2388,4.0
59,2393,4.0
59,2397,2.5
59,3128,1.5
59,3171,4.0
59,3176,4.0
59,3303,5.0
59,3357,3.5
59,3485,3.0
59,3672,2.0
59,3726,3.0
59,3879,5.0
59,4533,5.0
59,5068,5.0
59,5666,4.5
59,7146,4.0
59,7797,4.5
59,8580,4.5
59,9069,4.0
59,9079,2.5
59,9080,2.5
59,9088,5.0
59,9096,5.0
59,9097,3.0
59,9098,2.0
59,9099,5.0
59,9105,3.5
59,9106,4.5
59,9107,5.0
59,9113,4.5
59,9122,5.0
59,9123,4.0
59,9124,3.5
59,9125,2.5
59,9126,5.0
59,9127,4.0
59,9128,4.0
59,9129,2.5
59,9137,4.5
59,9140,2.5
59,9141,2.5
59,9142,5.0
59,9144,3.5
59,92985,5.0
59,92986,1.0
60,7,4.5
60,18,4.5
60,47,3.5
60,271,3.5
60,457,4.25
60,691,2.5
60,749,4.0
60,798,4.0
